;Unnamed: 0;data dostawy;indeks;kurs (PLN/MWh lub PLN/toe);wolumen (MWh lub toe);ukey
311;311;2016-04-21;TGEef;994.34;600.00;2016-04-21/TGEef
312;312;2016-04-21;TGEkec15;10.77;51000.00;2016-04-21/TGEkec15
313;313;2016-04-21;TGEkec16;-;-;2016-04-21/TGEkec16
314;314;2016-04-21;TGEkgm15;119.83;7535.69;2016-04-21/TGEkgm15
315;315;2016-04-21;TGEkgm16;116.89;8968.59;2016-04-21/TGEkgm16
316;316;2016-04-21;TGEkmet15;-;-;2016-04-21/TGEkmet15
317;317;2016-04-21;TGEkmet16;-;-;2016-04-21/TGEkmet16
318;318;2016-04-21;TGEoze;90.00;100.00;2016-04-21/TGEoze
319;319;2016-04-21;TGEozea;106.61;141420.83;2016-04-21/TGEozea
320;320;2016-04-26;TGEbg;-;-;2016-04-26/TGEbg
321;321;2016-04-26;TGEef;-;-;2016-04-26/TGEef
322;322;2016-04-26;TGEkec15;10.79;101944.11;2016-04-26/TGEkec15
323;323;2016-04-26;TGEkec16;-;-;2016-04-26/TGEkec16
324;324;2016-04-26;TGEkgm15;119.73;8443.44;2016-04-26/TGEkgm15
325;325;2016-04-26;TGEkgm16;116.54;2088.81;2016-04-26/TGEkgm16
326;326;2016-04-26;TGEkmet15;-;-;2016-04-26/TGEkmet15
327;327;2016-04-26;TGEkmet16;-;-;2016-04-26/TGEkmet16
328;328;2016-04-26;TGEoze;-;-;2016-04-26/TGEoze
329;329;2016-04-26;TGEozea;105.42;69080.62;2016-04-26/TGEozea
330;330;2016-04-28;TGEbg;-;-;2016-04-28/TGEbg
331;331;2016-04-28;TGEef;-;-;2016-04-28/TGEef
332;332;2016-04-28;TGEkec15;10.81;30000.00;2016-04-28/TGEkec15
333;333;2016-04-28;TGEkec16;-;-;2016-04-28/TGEkec16
334;334;2016-04-28;TGEkgm15;119.50;3643.97;2016-04-28/TGEkgm15
335;335;2016-04-28;TGEkgm16;117.00;4228.66;2016-04-28/TGEkgm16
336;336;2016-04-28;TGEkmet15;-;-;2016-04-28/TGEkmet15
337;337;2016-04-28;TGEkmet16;-;-;2016-04-28/TGEkmet16
338;338;2016-04-28;TGEoze;-;-;2016-04-28/TGEoze
339;339;2016-04-28;TGEozea;104.08;94042.21;2016-04-28/TGEozea
340;340;2016-05-05;TGEbg;-;-;2016-05-05/TGEbg
341;341;2016-05-05;TGEef;-;-;2016-05-05/TGEef
342;342;2016-05-05;TGEkec15;10.83;31000.00;2016-05-05/TGEkec15
343;343;2016-05-05;TGEkec16;10.50;4000.00;2016-05-05/TGEkec16
344;344;2016-05-05;TGEkgm15;118.47;18000.89;2016-05-05/TGEkgm15
345;345;2016-05-05;TGEkgm16;119.24;4343.35;2016-05-05/TGEkgm16
346;346;2016-05-05;TGEkmet15;61.90;68.46;2016-05-05/TGEkmet15
347;347;2016-05-05;TGEkmet16;61.05;1021.00;2016-05-05/TGEkmet16
